                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.59384,                 0.3529,                0.99843,                0.95239,                0.98575,                 0.9837,                0.85964,                0.49126,                0.23824,                0.93794,              0.0089011,              0.0089011,              0.0089011
                    113,                0.59341,                 0.3446,                 1.0078,                0.97601,                0.97466,                0.98457,                0.85939,                0.49185,                0.23511,                0.94225,              0.0088912,              0.0088912,              0.0088912
                    114,                0.59655,                0.35082,                 1.0026,                0.95213,                0.98478,                0.98734,                0.86478,                0.48786,                0.23542,                0.93395,              0.0088813,              0.0088813,              0.0088813
                    115,                0.59729,                0.35224,                 1.0115,                0.98246,                0.97897,                0.98792,                0.86654,                0.48543,                0.23856,                0.94545,              0.0088714,              0.0088714,              0.0088714
                    116,                0.59112,                0.35252,                  1.005,                0.97904,                0.98623,                0.99004,                0.86926,                0.48099,                0.23354,                0.94398,              0.0088615,              0.0088615,              0.0088615
                    117,                0.59422,                0.34139,                 1.0085,                0.96748,                 0.9851,                0.98719,                0.86953,                0.48072,                0.23323,                0.94107,              0.0088516,              0.0088516,              0.0088516
                    118,                0.58499,                 0.3463,                0.99435,                0.97377,                0.98571,                0.99021,                 0.8708,                0.48365,                 0.2347,                0.94095,              0.0088417,              0.0088417,              0.0088417
                    119,                0.58774,                0.34648,                0.99764,                0.96396,                 0.9879,                0.98948,                0.86961,                0.48039,                0.23296,                0.94256,              0.0088318,              0.0088318,              0.0088318
                    120,                0.58732,                 0.3489,                 1.0035,                0.97159,                0.97367,                0.98743,                0.87254,                0.48001,                0.23262,                0.94248,              0.0088219,              0.0088219,              0.0088219
                    121,                 0.5865,                0.34558,                 1.0034,                0.97336,                 0.9849,                0.98828,                0.86869,                 0.4823,                0.23538,                0.94246,               0.008812,               0.008812,               0.008812
                    122,                 0.6012,                0.35639,                 1.0109,                 0.9761,                0.98347,                0.98802,                0.86485,                0.48123,                0.23034,                0.93945,              0.0088021,              0.0088021,              0.0088021
                    123,                0.58297,                 0.3369,                0.99816,                0.95462,                0.98088,                0.98413,                0.86642,                0.47663,                0.23045,                0.93425,              0.0087922,              0.0087922,              0.0087922
                    124,                0.59514,                0.34613,                 1.0057,                0.96738,                0.98699,                0.98765,                 0.8709,                0.47443,                0.22919,                0.93568,              0.0087823,              0.0087823,              0.0087823
                    125,                0.58791,                0.35083,                0.99844,                0.98086,                0.98277,                0.98777,                0.87678,                0.46602,                0.22934,                0.93276,              0.0087724,              0.0087724,              0.0087724
                    126,                0.57861,                0.34265,                 1.0039,                0.97667,                 0.9757,                0.98723,                0.87294,                0.46769,                0.22385,                0.93248,              0.0087625,              0.0087625,              0.0087625
                    127,                0.58299,                0.34691,                0.98909,                0.97834,                0.98317,                0.98965,                0.87107,                0.47326,                0.22973,                0.93185,              0.0087526,              0.0087526,              0.0087526
                    128,                0.58181,                0.34768,                0.99615,                0.96902,                0.99042,                0.98903,                0.87743,                0.46673,                0.23359,                0.93523,              0.0087427,              0.0087427,              0.0087427
                    129,                0.58062,                0.34444,                0.99878,                0.98226,                0.98658,                0.98909,                0.87454,                0.48228,                 0.2343,                0.94148,              0.0087328,              0.0087328,              0.0087328
                    130,                0.58256,                0.34286,                 1.0031,                0.98111,                0.98905,                0.98888,                0.87346,                0.46692,                0.23047,                0.92739,              0.0087229,              0.0087229,              0.0087229
                    131,                0.56882,                0.33519,                0.98811,                0.97617,                0.98389,                0.98825,                0.87921,                0.46226,                0.22318,                0.92717,               0.008713,               0.008713,               0.008713
                    132,                 0.5676,                0.33075,                0.99142,                0.97817,                0.98003,                0.98856,                0.87273,                0.46373,                0.22207,                0.93416,              0.0087031,              0.0087031,              0.0087031
                    133,                0.57032,                0.32965,                0.99229,                0.96869,                0.98814,                0.98993,                 0.8781,                0.45747,                0.22353,                0.93508,              0.0086932,              0.0086932,              0.0086932
